334.6,-59.74,2.86,Tuc,a1a
56.87,24.11,2.87,Tau,a1a
296.2,45.13,2.87,Cyg,a1a
326.8,-15.87,2.87,Cap,a1a
95.74,22.51,2.88,Gem,a1a
113.7,31.89,2.88,Gem,a1a
59.46,40.01,2.89,Per,a1a
229.7,-67.32,2.89,TrA,a1a
239.7,-25.89,2.89,Sco,a1a
245.3,-24.41,2.89,Sco,a1a
287.4,-20.98,2.89,Sgr,a1a
111.8,8.289,2.9,CMi,a1a
194,38.32,2.9,CVn,a1a
322.9,-4.429,2.91,Aqr,a1a
46.2,53.51,2.93,Per,a1a
102.5,-49.39,2.93,Pup,a1a
340.8,30.22,2.94,Peg,a1a
59.51,-12.49,2.95,Eri,a1a
187.5,-15.48,2.95,Crv,a1a
263,-48.12,2.95,Ara,a1a
331.4,0.3197,2.96,Aqr,a1a
101,25.13,2.98,Gem,a1a
146.5,23.77,2.98,Leo,a1a
75.49,43.82,2.99,Aur,a1a
271.5,-29.58,2.99,Sgr,a1a
286.4,13.86,2.99,Aql,a1a
32.39,34.99,3,Tri,a1a
84.41,21.14,3,Tau,a1a
182.5,-21.38,3,Crv,a1a
199.7,-22.83,3,Hya,a1a
55.73,47.79,3.01,Per,a1a
146.8,-64.93,3.01,Car,a1a
167.4,44.5,3.01,UMa,a1a
328.5,-36.64,3.01,Gru,a1a
95.08,-29.94,3.02,CMa,a1a
105.8,-22.17,3.02,CMa,a1a
218,38.31,3.03,Boo,a1a
266.9,-39.87,3.03,Sco,a1a
34.84,-1.023,3.04,Cet,a1a
207.4,-41.53,3.04,Cen,a1a
155.6,41.5,3.05,UMa,a1a
191.6,-67.89,3.05,Mus,a1a
230.2,71.83,3.05,UMi,a1a
288.1,67.66,3.07,Dra,a1a
253,-37.95,3.08,Sco,a1a
292.7,27.96,3.08,Cyg,a1a
305.3,-13.22,3.08,Cap,a1a
133.8,5.946,3.11,Hya,a1a
162.4,-15.81,3.11,Hya,a1a
274.4,-35.24,3.11,Sgr,a1a
309.4,-46.71,3.11,Ind,a1a
87.74,-34.23,3.12,Col,a1a
140.3,34.39,3.13,Lyn,a1a
142.8,-56.97,3.13,   ,a1a
173.9,-62.98,3.13,Cen,a1a
224.8,-41.9,3.13,Cen,a1a
254.7,-54.01,3.13,Ara,a1a
134.8,48.04,3.14,UMa,a1a
258.8,24.84,3.14,Her,a1a
258.8,36.81,3.16,Her,a1a
76.63,41.23,3.17,Aur,a1a
99.44,-42.8,3.17,Pup,a1a
143.2,51.68,3.17,UMa,a1a
257.2,65.71,3.17,Dra,a1a
281.4,-25.01,3.17,Sgr,a1a
72.46,6.961,3.19,Ori,a1a
76.37,-21.63,3.19,Lep,a1a
220.6,-63.02,3.19,Cir,a1a
254.4,9.375,3.2,Oph,a1a
318.2,30.23,3.2,Cyg,a1a
267.5,-36.96,3.21,   ,a1a
354.8,77.63,3.21,Cep,a1a
230.3,-39.35,3.22,Lup,a1a
302.8,0.8214,3.23,Aql,a1a
322.2,70.56,3.23,Cep,a1a
44.57,-39.7,3.24,Eri,a1a
56.81,-73.76,3.24,Hyi,a1a
244.6,-3.308,3.24,Oph,a1a
284.7,32.69,3.24,Lyr,a1a
112.3,-42.7,3.25,Pup,a1a
275.3,-1.101,3.26,Ser,a1a
9.832,30.86,3.27,And,a1a
68.5,-54.96,3.27,Dor,a1a
102,-60.06,3.27,Pic,a1a
211.6,-25.32,3.27,Hya,a1a
260.5,-23,3.27,Oph,a1a
343.7,-14.18,3.27,Aqr,a1a
93.72,22.51,3.28,Gem,a1a
226,-24.72,3.29,Lib,a1a
231.2,58.97,3.29,Dra,a1a
16.52,-45.28,3.31,Phe,a1a
78.23,-15.79,3.31,Lep,a1a
183.9,57.03,3.31,UMa,a1a
153.4,-69.96,3.32,Car,a1a
158,-60.31,3.32,   ,a1a
286.7,-26.33,3.32,Sgr,a1a
258,-42.76,3.33,Sco,a1a
117.3,-23.14,3.34,Pup,a1a
168.6,15.43,3.34,Leo,a1a
261.3,-55.62,3.34,Ara,a1a
269.8,-8.226,3.34,Oph,a1a
63.61,-61.53,3.35,Ret,a1a
332.7,58.2,3.35,Cep,a1a
81.12,-1.603,3.36,Ori,a1a
101.3,12.9,3.36,Gem,a1a
127.6,60.72,3.36,UMa,a1a
291.4,3.115,3.36,Aql,a1a
203.7,0.5958,3.37,Vir,a1a
230.7,-43.31,3.37,Lup,a1a
28.6,63.67,3.38,Cas,a1a
131.7,6.419,3.38,Hya,a1a
193.9,3.398,3.38,Vir,a1a
46.29,38.84,3.39,Per,a1a
67.17,15.87,3.4,Tau,a1a
154.3,-60.67,3.4,   ,a1a
340.4,10.83,3.4,Peg,a1a
22.09,-42.68,3.41,Phe,a1a
28.27,29.58,3.41,Tri,a1a
207.4,-40.31,3.41,Cen,a1a
228.1,-51.9,3.41,Lup,a1a
240,-37.6,3.41,Lup,a1a
266.6,27.72,3.42,Her,a1a
311.2,-65.8,3.42,Pav,a1a
311.3,61.84,3.43,Cep,a1a
12.28,57.82,3.44,Cas,a1a
137.7,-57.03,3.44,   ,a1a
154.2,23.42,3.44,Leo,a1a
286.6,-3.118,3.44,Aql,a1a
17.15,-9.818,3.45,Cet,a1a
154.3,42.91,3.45,UMa,a1a
282.5,33.36,3.45,Lyr,a1a
40.83,3.236,3.47,Cet,a1a
60.17,12.49,3.47,Tau,a1a
105.4,-26.07,3.47,CMa,a1a
119.2,-51.02,3.47,Car,a1a
228.9,33.31,3.47,Boo,a1a
299.7,19.49,3.47,Sge,a1a
169.6,33.09,3.48,UMa,a1a
258.7,14.39,3.48,Her,a1a
342.5,24.6,3.48,Peg,a1a
342.1,-50.68,3.49,Gru,a1a
26.02,-14.06,3.5,Cet,a1a
225.5,40.39,3.5,Boo,a1a
276.7,-44.03,3.51,Tel,a1a
284.4,-20.89,3.51,Sgr,a1a
124.1,9.186,3.52,Cnc,a1a
145.3,9.892,3.52,Leo,a1a
151.8,16.76,3.52,Leo,a1a
342.4,66.2,3.52,Cep,a1a
67.15,19.18,3.53,Tau,a1a
110,21.98,3.53,Gem,a1a
237.4,-2.57,3.53,Ser,a1a
250.7,38.92,3.53,Her,a1a
332.6,6.198,3.53,Peg,a1a
55.81,-8.237,3.54,Eri,a1a
83.78,9.934,3.54,Ori,a1a
149.2,-53.43,3.54,Vel,a1a
173.3,-30.14,3.54,Hya,a1a
264.4,-14.6,3.54,Ser,a1a
86.74,-13.18,3.55,Lep,a1a
214.9,-45.94,3.55,Lup,a1a
4.857,-7.176,3.56,Cet,a1a
34.13,-50.49,3.56,Eri,a1a
64.47,-32.2,3.56,Eri,a1a
169.8,-13.22,3.56,Crt,a1a
230.5,-35.74,3.56,Lup,a1a
302.2,-65.82,3.56,Pav,a1a
24.5,48.63,3.57,And,a1a
116.1,24.4,3.57,Gem,a1a
253.1,-37.98,3.57,Sco,a1a
275.3,72.73,3.57,Dra,a1a
304.5,-11.46,3.57,Cap,a1a
109.5,16.54,3.58,Gem,a1a
218,30.37,3.58,Boo,a1a
234.3,-27.87,3.58,Lib,a1a
185.3,-59.6,3.59,Cru,a1a
21.01,-7.817,3.6,Cet,a1a
51.2,9.029,3.6,Tau,a1a
79.4,-5.156,3.6,Ori,a1a
86.12,-21.55,3.6,Lep,a1a
103.2,33.96,3.6,Gem,a1a
135.9,47.16,3.6,UMa,a1a
142.7,-39.53,3.6,Vel,a1a
116.3,-36.03,3.61,   ,a1a
152.6,-11.65,3.61,Hya,a1a
177.7,1.765,3.61,Vir,a1a
22.87,15.35,3.62,Psc,a1a
130.1,-51.08,3.62,   ,a1a
195.6,-70.45,3.62,Mus,a1a
253.6,-41.64,3.62,Sco,a1a
262.8,-59.32,3.62,Ara,a1a
266.4,-63.28,3.62,Pav,a1a
345.5,42.33,3.62,And,a1a
42.5,27.26,3.63,Ari,a1a
57.29,24.05,3.63,Tau,a1a
309.4,14.6,3.63,Del,a1a
176.4,-65.27,3.64,Mus,a1a
64.95,15.63,3.65,Tau,a1a
190.4,-0.5506,3.65,Vir,a1a
211.1,64.38,3.65,Dra,a1a
313.7,-57.55,3.65,Ind,a1a
9.243,53.9,3.66,Cas,a1a
234.7,-28.22,3.66,Lib,a1a
271.7,-49.91,3.66,Ara,a1a
347.4,-20.83,3.66,Aqr,a1a
142.9,63.06,3.67,UMa,a1a
236.5,15.42,3.67,Ser,a1a
130.9,-32.81,3.68,Pyx,a1a
190.4,-0.5506,3.68,Vir,a1a
232,29.11,3.68,CrB,a1a
325,-15.34,3.68,Cap,a1a
49.88,-20.24,3.69,Eri,a1a
72.8,5.605,3.69,Ori,a1a
146.3,-61.49,3.69,   ,a1a
349.3,3.282,3.69,Psc,a1a
28.99,-50.39,3.7,Eri,a1a
56.22,24.11,3.7,Tau,a1a
269.4,29.25,3.7,Her,a1a
89.1,-13.83,3.71,Lep,a1a
176.5,47.78,3.71,UMa,a1a
237.7,4.478,3.71,Ser,a1a
298.8,6.407,3.71,Aql,a1a
73.56,2.441,3.72,Ori,a1a
89.88,54.28,3.72,Aur,a1a
221.6,1.893,3.72,Vir,a1a
316.2,43.93,3.72,Cyg,a1a
318.7,38.05,3.72,Cyg,a1a
27.87,-9.665,3.73,Cet,a1a
53.23,-8.542,3.73,Eri,a1a
118.1,-39.42,3.73,   ,a1a
271.8,9.564,3.73,Oph,a1a
51.79,9.733,3.74,Tau,a1a
321.7,-21.59,3.74,Cap,a1a
343.2,-6.42,3.74,Aqr,a1a
75.62,41.08,3.75,Aur,a1a
136,-46.9,3.75,   ,a1a
245.5,19.15,3.75,Her,a1a
267,2.707,3.75,Oph,a1a
268.4,56.87,3.75,Dra,a1a
337.3,58.42,3.75,Cep,a1a
42.67,55.9,3.76,Per,a1a
65.73,17.54,3.76,Tau,a1a
83.41,-61.51,3.76,Dor,a1a
252.4,-58.96,3.76,Ara,a1a
325.4,-76.61,3.76,Oct,a1a
331.8,25.35,3.76,Peg,a1a
56.3,42.58,3.77,Per,a1a
126.4,-65.86,3.77,Vol,a1a
286.2,-20.26,3.77,Sgr,a1a
289.3,53.37,3.77,Cyg,a1a
309.9,15.91,3.77,Del,a1a
311.9,-8.504,3.77,Aqr,a1a
337.8,50.28,3.77,Lac,a1a
107.2,-69.5,3.78,Vol,a1a
163.4,-57.15,3.78,   ,a1a
106,20.57,3.79,Gem,a1a
111.4,27.8,3.79,Gem,a1a
292.4,51.73,3.79,Cyg,a1a
303.4,46.74,3.79,Cyg,a1a
47.37,44.86,3.8,Per,a1a
147.7,59.04,3.8,UMa,a1a
155,19.84,3.8,Leo,a1a
233.7,10.54,3.8,Ser,a1a
233.7,10.54,3.8,Ser,a1a
264.9,46.01,3.8,Her,a1a
84.69,-1.4,3.81,Ori,a1a
87.83,-19.12,3.81,Lep,a1a
156.5,-15.16,3.81,Hya,a1a
68.89,-29.44,3.82,Eri,a1a
139.7,36.8,3.82,Lyn,a1a
157,-57.26,3.82,   ,a1a
247.7,1.984,3.82,Oph,a1a
296.8,18.53,3.82,Sge,a1a
354.4,46.46,3.82,And,a1a
56.08,32.29,3.83,Per,a1a
163.3,34.22,3.83,LMi,a1a
209.6,-41.9,3.83,Cen,a1a
222,-78.96,3.83,Aps,a1a
271.9,28.76,3.83,Her,a1a
297,70.27,3.83,Dra,a1a
67.14,15.96,3.84,Tau,a1a
130.2,-45.35,3.84,   ,a1a
133.8,-59.36,3.84,   ,a1a
159.3,-47.77,3.84,   ,a1a
172.9,69.33,3.84,Dra,a1a
235.7,26.3,3.84,CrB,a1a
275.9,21.77,3.84,Her,a1a
335.4,-0.6128,3.84,Aqr,a1a
56.05,-63.19,3.85,Ret,a1a
86.82,-50.93,3.85,Pic,a1a
95.53,-32.56,3.85,Col,a1a
108.7,-25.23,3.85,CMa,a1a
153.7,-41.88,3.85,   ,a1a
158.2,9.307,3.85,Leo,a1a
239.1,15.66,3.85,Ser,a1a
243.9,-62.31,3.85,TrA,a1a
278.8,-7.756,3.85,Sct,a1a
63.5,-41.71,3.86,Hor,a1a
189.4,-47.46,3.86,Cen,a1a
269.1,37.25,3.86,Her,a1a
273.4,-20.94,3.86,Sgr,a1a
14.19,38.5,3.87,And,a1a
48.02,-27.01,3.87,For,a1a
56.46,24.37,3.87,Tau,a1a
69.55,-13.7,3.87,Eri,a1a
82.8,-34.53,3.87,Col,a1a
103.5,-23.82,3.87,CMa,a1a
188.1,-71.87,3.87,Mus,a1a
188.4,69.79,3.87,Dra,a1a
209.7,-43.2,3.87,Cen,a1a
228,-47.26,3.87,Lup,a1a
2.353,-44.25,3.88,Phe,a1a
138.6,2.314,3.88,Hya,a1a
148.2,26.01,3.88,Leo,a1a
202.8,-38.59,3.88,   ,a1a
220.8,-4.342,3.88,Vir,a1a
239.2,-28.79,3.88,Sco,a1a
44.11,-7.102,3.89,Eri,a1a
170.3,-53.51,3.89,Cen,a1a
185,0.6669,3.89,Vir,a1a
244.9,46.31,3.89,Her,a1a
248.4,-77.1,3.89,Aps,a1a
299.1,35.08,3.89,Cyg,a1a
126.4,-2.094,3.9,   ,a1a
298.1,1.006,3.9,Aql,a1a
347.6,-44.75,3.9,Gru,a1a
60.79,5.989,3.91,Tau,a1a
131.5,-45.96,3.91,   ,a1a
145,-0.8572,3.91,Hya,a1a
167.1,-57.03,3.91,   ,a1a
187,-49.77,3.91,Cen,a1a
233.9,-13.21,3.91,Lib,a1a
17.1,-54.75,3.92,Phe,a1a
255.1,30.93,3.92,Her,a1a
319,5.248,3.92,Equ,a1a
69.08,-2.648,3.93,Eri,a1a
115.3,-8.449,3.93,Mon,a1a
290.4,-16.15,3.93,Sgr,a1a
6.551,-42.32,3.94,Phe,a1a
131.2,18.15,3.94,Cnc,a1a
171,10.53,3.94,Leo,a1a
314.3,41.17,3.94,Cyg,a1a
22.81,-48.93,3.95,Phe,a1a
43.56,52.76,3.95,Per,a1a
99.17,-18.74,3.95,CMa,a1a
115.5,-71.39,3.95,Vol,a1a
201,54.92,3.95,UMa,a1a
237.7,-32.37,3.95,Lup,a1a
341.6,23.57,3.95,Peg,a1a
66.01,-33.98,3.96,Eri,a1a
89.79,-41.18,3.96,Col,a1a
102.5,-31.49,3.96,CMa,a1a
116,-27.05,3.96,Pup,a1a
182.9,-51.63,3.96,Cen,a1a
241.7,-19.33,3.96,Sco,a1a
300.1,-71.09,3.96,Pav,a1a
87.87,39.15,3.97,Aur,
130,-34.69,3.97,Pyx,
135.2,41.78,3.97,   ,
137.8,-61.68,3.97,   ,
270.2,2.932,3.97,Oph,
291,-39.38,3.97,Sgr,
337.3,-42.5,3.97,Gru,
350.7,-19.9,3.97,Aqr,
30.86,72.42,3.98,Cas,
93.71,-5.725,3.98,Mon,
109.2,-66.04,3.98,Vol,
303.9,47.71,3.98,Cyg,
349.4,-57.76,3.99,Tuc,
30,-20.92,4,Cet,
43.47,-48.11,4,   ,
135.6,-65.6,4,Vol,
156.1,-73.97,4,   ,
220.5,-36.21,4,   ,
34.33,33.85,4.01,Tri,
132.6,-26.29,4.01,Pyx,
201.3,54.99,4.01,UMa,
240.5,58.57,4.01,Dra,
243,-18.54,4.01,Sco,
280.8,-70.57,4.01,Pav,
290.7,-43.54,4.01,Sgr,
307.3,30.37,4.01,Cyg,
342.4,-12.41,4.01,Aqr,
359.8,6.863,4.01,Psc,
71.38,-2.745,4.02,Eri,
131.7,28.76,4.02,Cnc,
182.1,-23.27,4.02,Crv,
245,-49.84,4.02,Nor,
284.9,15.07,4.02,Aql,
285.4,-4.261,4.02,Aql,
323.5,45.59,4.02,Cyg,
338.8,0.1175,4.02,Aqr,
75.85,60.44,4.03,Cam,
176.5,6.529,4.03,Vir,
193.6,-56.82,4.03,Cru,
271.4,2.499,4.03,Oph,
308.3,11.3,4.03,Del,
59.74,35.79,4.04,Per,
62.17,47.71,4.04,Per,
62.97,-5.163,4.04,Eri,
184.6,-64,4.04,Cru,
283.8,43.95,4.04,Lyr,
47.27,49.61,4.05,Per,
